CSD refcode,CIF filename,original crystal system,Sohncke space group,Percentage void space,Charged framework,Hydrogen added,Unreliable chemistry
ABAVIJ,abavij_P1,monoclinic,-,15.538,-,-,-
ABAVOP,abavop_P1,monoclinic,-,13.946,-,-,-
ABAYIO,abayio_P1_charged,cubic,-,62.844,Yes,-,-
ABAZAF,abazaf_P1,monoclinic,-,21.272,-,-,-
ABAZAF01,abazaf01_P1,monoclinic,-,22.353,-,-,-
ABEFUL,abeful_P1_H,tetragonal,-,17.83,-,Yes,Yes
ABEXEM,abexem_P1,orthorhombic,-,21.567,-,-,-
ABEXEN,abexen_P1_charged,hexagonal,-,68.157,Yes,-,-
ABEXIQ,abexiq_P1,orthorhombic,-,21.417,-,-,-
ABEXOW,abexow_P1,orthorhombic,-,20.81,-,-,-
ABEXUC,abexuc_P1,orthorhombic,-,20.355,-,-,-
ABEYAJ,abeyaj_P1,orthorhombic,-,21.105,-,-,-
ABEYEN,abeyen_P1,orthorhombic,-,21.144,-,-,-
ABEYIR,abeyir_P1,orthorhombic,-,19.696,-,-,-
ABIYIV,abiyiv_P1,orthorhombic,-,18.389,-,-,-
ABUHAJ,abuhaj_P1,monoclinic,-,10.285,-,-,-
ACAJOF,acajof_P1,orthorhombic,-,30.373,-,-,-
ACALIB,acalib_P1_H,monoclinic,-,13.192,-,Yes,-
ACENIF,acenif_P1,orthorhombic,-,32.816,-,-,-
ACIBOE,aciboe_P1_H,tetragonal,-,42.916,-,Yes,Yes
ACICOH,acicoh_P1,monoclinic,-,31.13,-,-,-
ACMPCD,acmpcd_P1_H,monoclinic,Yes,16.932,-,Yes,-
ACOBEC,acobec_P1_H,triclinic,-,10.306,-,Yes,-
ACODAA,acodaa_P1,tetragonal,-,54.094,-,-,-
ACODED,acoded_P1,orthorhombic,-,38.52,-,-,-
ACODON,acodon_P1_charged,monoclinic,-,47.045,Yes,-,Yes
ACOGEF,acogef_P1,monoclinic,-,37.653,-,-,-
ACOLIP,acolip_P1,monoclinic,-,35.781,-,-,-
ACOLUB,acolub_P1,monoclinic,-,44.017,-,-,-
ACUFEK,acufek_P1,rhombohedral,-,72.241,-,-,Yes
ACUHEO,acuheo_P1_H,triclinic,-,10.527,-,Yes,-
ACUREY,acurey_P1,orthorhombic,-,19.817,-,-,-
ACURUO,acuruo_P1,monoclinic,-,42.46,-,-,-
ACUTOI,acutoi_P1_H,orthorhombic,-,18.8,-,Yes,Yes
ACUXUU,acuxuu_P1,monoclinic,-,50.356,-,-,-
ACUYAB,acuyab_P1,monoclinic,-,57.869,-,-,-
ADABAK,adabak_P1,monoclinic,-,11.974,-,-,-
ADABAK01,adabak01_P1,monoclinic,-,12.751,-,-,-
ADABEO,adabeo_P1,monoclinic,-,11.671,-,-,-
ADABIS,adabis_P1,monoclinic,-,11.145,-,-,-
ADABUE,adabue_P1,monoclinic,-,19.136,-,-,-
ADAQAA,adaqaa_P1,orthorhombic,-,66.955,-,-,-
ADASIJ,adasij_P1,cubic,-,71.987,-,-,Yes
ADASOP,adasop_P1,tetragonal,-,63.322,-,-,Yes
ADATAC,adatac_P1,cubic,-,84.334,-,-,Yes
ADATIK,adatik_P1,tetragonal,-,82.162,-,-,Yes
ADATUW,adatuw_P1_charged,cubic,Yes,64.834,Yes,-,-
ADAXEK,adaxek_P1,monoclinic,-,37.659,-,-,-
ADAXIO,adaxio_P1,monoclinic,-,32.671,-,-,-
ADEGEY,adegey_P1_charged,monoclinic,-,50.994,Yes,-,-
ADILOR,adilor_P1,orthorhombic,Yes,12.026,-,-,-
ADINCU,adincu_P1_charged,orthorhombic,-,20.603,Yes,-,-
ADIQAH,adiqah_P1,monoclinic,-,32.449,-,-,-
ADIQEL,adiqel_P1,monoclinic,-,30.877,-,-,-
ADOBAX,adobax_P1,tetragonal,-,30.932,-,-,-
ADOCAY,adocay_P1,tetragonal,-,29.465,-,-,-
ADOCEC,adocec_P1,tetragonal,-,29.459,-,-,-
ADOCIG,adocig_P1,tetragonal,-,29.413,-,-,-
ADODII,adodii_P1,monoclinic,Yes,33.612,-,-,-
ADODOO,adodoo_P1,monoclinic,Yes,31.253,-,-,-
ADODUU,adoduu_P1,monoclinic,Yes,31.14,-,-,-
ADONIT,adonit_P1,orthorhombic,-,15.328,-,-,-
ADUJER,adujer_P1,cubic,-,75.538,-,-,-
ADULIX,adulix_P1,orthorhombic,Yes,11.323,-,-,-
ADUROI,aduroi_P1,cubic,-,78.559,-,-,-
ADUWIH,aduwih_P1,cubic,-,61.04,-,-,Yes
ADUWON,aduwon_P1_charged,cubic,-,72.558,Yes,-,Yes
AFADAN,afadan_P1_charged,rhombohedral,-,27.614,Yes,-,-
AFECIY,afeciy_P1,monoclinic,-,15.588,-,-,-
AFECIY01,afeciy01_P1,monoclinic,-,15.427,-,-,-
AFEHUO,afehuo_P1,tetragonal,-,56.876,-,-,-
AFENEE,afenee_P1_charged,orthorhombic,-,12.66,Yes,-,-
AFENUX,afenux_P1,monoclinic,Yes,21.94,-,-,-
AFIPAH,afipah_P1_H,orthorhombic,-,10.332,-,Yes,Yes
AFITEP,afitep_P1,monoclinic,-,33.92,-,-,-
AFITIT,afitit_P1,monoclinic,Yes,39.121,-,-,-
AFOQUI,afoqui_P1,orthorhombic,-,14.588,-,-,-
AFOROD,aforod_P1,monoclinic,-,13.178,-,-,-
AFOTOF,afotof_P1,monoclinic,Yes,45.351,-,-,-
AFOTUL,afotul_P1,monoclinic,Yes,45.617,-,-,-
AFOVAT,afovat_P1,monoclinic,Yes,44.645,-,-,-
AFOVEX,afovex_P1,monoclinic,Yes,45.717,-,-,-
AFOVIB,afovib_P1,monoclinic,Yes,45.022,-,-,-
AFOVOH,afovoh_P1,monoclinic,Yes,45.002,-,-,-
AFOWOK,afowok_P1,tetragonal,-,24.174,-,-,-
AFOYEB,afoyeb_P1_H,tetragonal,Yes,18.397,-,Yes,-
AFUKAP,afukap_P1,monoclinic,-,43.7,-,-,-
AFUKET,afuket_P1,orthorhombic,-,42.426,-,-,-
AFUVUV,afuvuv_P1_charged,monoclinic,-,30.889,Yes,-,-
AGABIU,agabiu_P1_charged_H,hexagonal,-,53.561,Yes,Yes,Yes
AGARUW,agaruw_P1,orthorhombic,-,29.152,-,-,-
AGEDIC,agedic_P1,monoclinic,-,45.589,-,-,-
AGEGUR,agegur_P1,triclinic,-,10.929,-,-,-
AGEQEK,ageqek_P1,monoclinic,-,24.043,-,-,-
AGESIP,agesip_P1_H,monoclinic,-,23.25,-,Yes,Yes
AGIMIO,agimio_P1,orthorhombic,-,18.454,-,-,-
AGIMOU,agimou_P1,monoclinic,-,15.793,-,-,-
AGOFEJ,agofej_P1_charged,monoclinic,-,67.035,Yes,-,-
AGOVID,agovid_P1_charged,cubic,-,71.973,Yes,-,-
AGOWAW,agowaw_P1_charged,cubic,Yes,67.35,Yes,-,-
AGOWEA,agowea_P1_charged,cubic,-,53.401,Yes,-,-
AGOZED,agozed_P1,monoclinic,-,16.403,-,-,-
AGUWUV,aguwuv_P1,triclinic,-,15.161,-,-,-
AHADUJ,ahaduj_P1,monoclinic,-,15.516,-,-,-
AHAFAR,ahafar_P1,monoclinic,-,10.917,-,-,-
AHAFEV,ahafev_P1,monoclinic,-,23.165,-,-,-
AHEBAS,ahebas_P1_H,monoclinic,Yes,28.959,-,Yes,-
AHEQAH,aheqah_P1_H,orthorhombic,-,63.252,-,Yes,Yes
AHETAK,ahetak_P1_H,tetragonal,-,53.777,-,Yes,-
AHINIP,ahinip_P1,monoclinic,Yes,16.887,-,-,-
AHISUI,ahisui_P1,monoclinic,-,17.749,-,-,-
AHITAP,ahitap_P1,monoclinic,-,16.12,-,-,-
AHITET,ahitet_P1,monoclinic,-,16.941,-,-,-
AHOBIK,ahobik_P1,monoclinic,-,11.588,-,-,-
AHOKIR01,ahokir01_P1,monoclinic,-,22.858,-,-,-
AHUJEV,ahujev_P1,orthorhombic,Yes,23.15,-,-,-
AHUTIH,ahutih_P1_H,monoclinic,-,13.421,-,Yes,-
AJABIX,ajabix_P1,rhombohedral,-,30.874,-,-,-
AJABIX01,ajabix01_P1,rhombohedral,-,31.949,-,-,-
AJABOD,ajabod_P1,rhombohedral,-,31.133,-,-,-
AJAGOI,ajagoi_P1,triclinic,-,27.092,-,-,-
AJAKON,ajakon_P1,monoclinic,-,29.267,-,-,Yes
AJAYIT,ajayit_P1,trigonal,-,27.444,-,-,-
AJEKIL,ajekil_P1,orthorhombic,Yes,10.421,-,-,-
AJIDOP,ajidop_P1,triclinic,-,42.899,-,-,-
AJIFAD,ajifad_P1,triclinic,-,33.806,-,-,-
AJIFUX,ajifux_P1,triclinic,-,34.973,-,-,-
AJIGIL,ajigil_P1_H,orthorhombic,Yes,21.491,-,Yes,-
AJIMEN,ajimen_P1,triclinic,-,36.165,-,-,-
AJOCOU,ajocou_P1_charged,monoclinic,-,14.509,Yes,-,-
AJOVEB,ajoveb_P1,rhombohedral,-,13.707,-,-,-
AJUNOK,ajunok_P1,orthorhombic,-,22.375,-,-,-
AJUPAY,ajupay_P1,orthorhombic,-,14.35,-,-,-
AKAYIV,akayiv_P1,monoclinic,-,40.011,-,-,-
AKEDIF,akedif_P1,monoclinic,-,42.58,-,-,-
AKUKUO,akukuo_P1,triclinic,-,32.854,-,-,-
ALAHUS,alahus_P1,tetragonal,-,38.027,-,-,Yes
ALAMUW,alamuw_P1,rhombohedral,-,60.774,-,-,-
ALANAD,alanad_P1,orthorhombic,-,48.748,-,-,-
ALEJAE,alejae_P1,trigonal,Yes,87.815,-,-,Yes
ALEJEI,alejei_P1,tetragonal,-,73.503,-,-,Yes
ALEJIM,alejim_P1,tetragonal,-,73.895,-,-,Yes
ALICEE,alicee_P1_charged,tetragonal,Yes,38.311,Yes,-,-
ALICII,alicii_P1_charged,tetragonal,Yes,40.294,Yes,-,-
ALIXID,alixid_P1_charged,orthorhombic,-,35.395,Yes,-,-
ALIXOJ,alixoj_P1,monoclinic,-,25.124,-,-,-
ALIXUP,alixup_P1_H,orthorhombic,-,19.41,-,Yes,-
ALOLES,aloles_P1_charged_H,monoclinic,-,20.624,Yes,Yes,Yes
ALOLIY,aloliy_P1_charged,monoclinic,-,13.5,Yes,-,-
ALUKIC,alukic_P1,monoclinic,-,64.146,-,-,-
ALUKOI,alukoi_P1,monoclinic,-,64.196,-,-,-
ALUKUO,alukuo_P1,monoclinic,-,64.165,-,-,-
ALULAV,alulav_P1,monoclinic,-,64.072,-,-,-
ALULID,alulid_P1,triclinic,-,52.677,-,-,-
ALURAB,alurab_P1_charged,orthorhombic,Yes,36.792,Yes,-,-
ALUREF,aluref_P1_charged,orthorhombic,Yes,36.912,Yes,-,-
ALURIJ,alurij_P1_charged,orthorhombic,Yes,35.936,Yes,-,-
AMAFOK,amafok_P1,rhombohedral,-,27.922,-,-,-
AMAFUQ,amafuq_P1,rhombohedral,-,28.635,-,-,-
AMAGAX,amagax_P1,rhombohedral,-,30.053,-,-,-
AMEJIM,amejim_P1_charged_H,rhombohedral,-,28.768,Yes,Yes,-
AMILOY,amiloy_P1,monoclinic,-,39.716,-,-,-
AMILUE,amilue_P1,monoclinic,-,40.258,-,-,-
AMIMAL,amimal_P1,monoclinic,-,39.947,-,-,-
AMIMEP,amimep_P1,monoclinic,-,40.226,-,-,-
AMIYIG,amiyig_P1_charged,trigonal,-,23.347,Yes,-,-
AMIZAZ,amizaz_P1_charged,trigonal,-,23.065,Yes,-,-
AMIZAZ01,amizaz01_P1_charged,trigonal,-,23.14,Yes,-,-
AMIZAZ02,amizaz02_P1_charged,trigonal,-,22.837,Yes,-,-
AMIZEC,amizec_P1_H,orthorhombic,-,15.366,-,Yes,-
AMOBEL02,amobel02_P1_charged,trigonal,-,23.128,Yes,-,-
AMOFAK,amofak_P1,orthorhombic,Yes,62.936,-,-,-
AMOGEP,amogep_P1,tetragonal,-,10.688,-,-,-
AMOMUM,amomum_P1_charged,trigonal,-,22.764,Yes,-,-
AMONAT,amonat_P1_charged,trigonal,-,23.019,Yes,-,-
AMOYOR,amoyor_P1,monoclinic,-,23.408,-,-,-
AMUFIZ,amufiz_P1,triclinic,-,14.467,-,-,-
AMUFOF,amufof_P1,triclinic,-,29.195,-,-,-
AMUPOP,amupop_P1,monoclinic,-,17.558,-,-,-
AMURUX02,amurux02_P1_charged,trigonal,-,24.404,Yes,-,-
AMURUX10,amurux10_P1_charged,trigonal,-,24.404,Yes,-,-
AMURUX11,amurux11_P1_charged,trigonal,-,24.404,Yes,-,-
AMUWIP,amuwip_P1_charged,orthorhombic,-,32.342,Yes,-,-
AMUWUB,amuwub_P1,triclinic,-,49.829,-,-,-
AMUXAI,amuxai_P1_charged_H,triclinic,-,37.711,Yes,Yes,-
ANAKUX,anakux_P1,triclinic,-,19.94,-,-,-
ANAWIX,anawix_P1,monoclinic,-,35.894,-,-,-
ANAWOD,anawod_P1,orthorhombic,-,43.337,-,-,-
ANEHEI,anehei_P1,triclinic,-,33.141,-,-,Yes
ANUGEW,anugew_P1,orthorhombic,-,79.521,-,-,Yes
ANUGIA,anugia_P1,rhombohedral,-,73.122,-,-,Yes
ANUGOG,anugog_P1,orthorhombic,-,71.97,-,-,Yes
ANUGUM,anugum_P1,monoclinic,-,68.623,-,-,-
APAYIB,apayib_P1,monoclinic,-,42.759,-,-,-
APAYOH,apayoh_P1,monoclinic,-,44.783,-,-,-
APAYUN,apayun_P1,monoclinic,-,41.729,-,-,-
APAZAU,apazau_P1,monoclinic,-,48.261,-,-,-
APAZEY,apazey_P1,monoclinic,-,48.962,-,-,-
APAZIC,apazic_P1,monoclinic,-,50.246,-,-,-
APAZOI,apazoi_P1,monoclinic,-,41.012,-,-,-
APEBEE,apebee_P1,triclinic,-,10.828,-,-,-
APUVIS,apuvis_P1,hexagonal,Yes,39.206,-,-,-
AQAJEI,aqajei_P1,orthorhombic,-,36.535,-,-,-
AQIROJ,aqiroj_P1,monoclinic,-,27.865,-,-,-
AQIXUV,aqixuv_P1_charged,triclinic,-,33.111,Yes,-,-
AQUCOG,aqucog_P1,rhombohedral,-,59.414,-,-,-
AQUCUM,aqucum_P1,rhombohedral,-,59.767,-,-,-
AQUDAT,aqudat_P1,monoclinic,-,12.288,-,-,-
AQUDEX,aqudex_P1,monoclinic,-,12.577,-,-,-
AQUDIB,aqudib_P1,rhombohedral,-,59.149,-,-,-
AQUDOH,aqudoh_P1,monoclinic,-,12.635,-,-,-
ARADEE,aradee_P1_charged,monoclinic,-,32.06,Yes,-,-
ARAGOR,aragor_P1,monoclinic,-,14.926,-,-,Yes
ARAJEK,arajek_P1,tetragonal,Yes,34.942,-,-,-
ARAJIO,arajio_P1,tetragonal,Yes,35.957,-,-,-
ARAJOU,arajou_P1,tetragonal,Yes,34.195,-,-,-
ARAKAH,arakah_P1,tetragonal,Yes,35.595,-,-,-
ARAWEW,arawew_P1,orthorhombic,-,30.407,-,-,-
ARINUL,arinul_P1_charged,tetragonal,-,11.507,Yes,-,-
AROFAP,arofap_P1,triclinic,Yes,39.45,-,-,-
AROFET,arofet_P1,triclinic,-,59.008,-,-,-
AROQAB,aroqab_P1_charged,monoclinic,-,12.997,Yes,-,-
ARUCIB,arucib_P1,monoclinic,-,25.325,-,-,-
ARUCOH01,arucoh01_P1,monoclinic,-,27.895,-,-,-
ARUCUN,arucun_P1,triclinic,-,26.334,-,-,-
ARUDAU,arudau_P1_H,triclinic,-,28.039,-,Yes,-
ASACON,asacon_P1,orthorhombic,-,27.883,-,-,-
ASAHEJ,asahej_P1,triclinic,-,34.88,-,-,-
ASAMUE,asamue_P1_H,orthorhombic,-,24.041,-,Yes,-
ASINAT,asinat_P1,triclinic,-,55.051,-,-,-
ASINEX,asinex_P1,orthorhombic,-,60.3,-,-,-
ASINIB,asinib_P1,orthorhombic,-,60.0,-,-,-
ASOYOY,asoyoy_P1,tetragonal,Yes,42.508,-,-,-
ASUBIB,asubib_P1,triclinic,-,18.788,-,-,-
ASUJIJ,asujij_P1_charged,monoclinic,-,27.288,Yes,-,-
ASUWUI,asuwui_P1,triclinic,-,30.416,-,-,-
ATAHUA,atahua_P1,orthorhombic,Yes,20.673,-,-,-
ATAJAI,atajai_P1,monoclinic,Yes,36.389,-,-,-
ATEBEI,atebei_P1,monoclinic,-,14.963,-,-,-
ATEYED,ateyed_P1_charged_H,monoclinic,-,24.245,Yes,Yes,Yes
ATEYOP,ateyop_P1_charged,orthorhombic,-,64.221,Yes,-,-
ATEYUV,ateyuv_P1_charged,orthorhombic,-,63.677,Yes,-,-
ATEZAC,atezac_P1_charged,monoclinic,-,68.195,Yes,-,-
ATIBAG,atibag_P1,monoclinic,-,28.882,-,-,-
ATIBOU,atibou_P1,monoclinic,-,28.893,-,-,-
ATIBOU01,atibou01_P1,monoclinic,-,29.204,-,-,-
ATIBOU02,atibou02_P1,monoclinic,-,29.163,-,-,-
ATIBUA,atibua_P1,monoclinic,-,28.077,-,-,-
ATICAH,aticah_P1,monoclinic,-,30.62,-,-,-
ATICEL,aticel_P1,monoclinic,-,29.802,-,-,-
ATIXUX,atixux_P1_charged,orthorhombic,-,34.333,Yes,-,-
ATOBIW,atobiw_P1,monoclinic,-,35.33,-,-,-
ATOBOC,atoboc_P1,monoclinic,-,17.301,-,-,-
ATOTIM,atotim_P1_H,orthorhombic,-,59.868,-,Yes,-
ATOWIQ,atowiq_P1,monoclinic,-,59.751,-,-,-
ATOWOW,atowow_P1,monoclinic,-,59.92,-,-,-
ATOXEN,atoxen_P1,triclinic,-,23.331,-,-,-
ATURIS,aturis_P1_charged,orthorhombic,Yes,74.942,Yes,-,-
ATUXOE,atuxoe_P1_charged_H,triclinic,-,11.945,Yes,Yes,-
ATUXUK,atuxuk_P1_charged_H,triclinic,-,10.535,Yes,Yes,-
ATUYAR,atuyar_P1_charged_H,triclinic,-,10.58,Yes,Yes,-
AVAJUE02,avajue02_P1,cubic,Yes,91.749,-,-,Yes
AVAKAL02,avakal02_P1,cubic,-,89.842,-,-,Yes
AVAKEP02,avakep02_P1,cubic,-,87.493,-,-,Yes
AVAQIX,avaqix_P1,orthorhombic,-,31.29,-,-,-
AVAQIX01,avaqix01_P1,orthorhombic,-,30.235,-,-,-
AVASUM,avasum_P1,monoclinic,-,11.886,-,-,-
AVEHAM,aveham_P1,monoclinic,-,20.418,-,-,-
AVELOD,avelod_P1_H,tetragonal,-,45.069,-,Yes,-
AVEMAQ,avemaq_P1_H,tetragonal,-,43.278,-,Yes,-
AVEQID,aveqid_P1,monoclinic,-,60.33,-,-,Yes
AVEROJ,averoj_P1,hexagonal,Yes,49.83,-,-,-
AVESOL,avesol_P1,monoclinic,-,55.433,-,-,-
AVIHIY,avihiy_P1,tetragonal,Yes,38.585,-,-,-
AVIHOE,avihoe_P1,tetragonal,Yes,38.014,-,-,Yes
AVIMOI,avimoi_P1,monoclinic,-,27.716,-,-,-
AVIMUO,avimuo_P1,monoclinic,-,23.355,-,-,-
AVIPOL,avipol_P1,monoclinic,-,28.739,-,-,-
AVIVAC,avivac_P1_charged,tetragonal,-,58.713,Yes,-,-
AVIVEG,aviveg_P1_charged,tetragonal,-,58.922,Yes,-,-
AVIVIK,avivik_P1_charged,tetragonal,-,41.436,Yes,-,-
AVIVOQ,avivoq_P1_charged,tetragonal,-,63.877,Yes,-,-
AVIVUW,avivuw_P1_charged,tetragonal,-,55.021,Yes,-,-
AVUCEA,avucea_P1_H,rhombohedral,-,23.761,-,Yes,-
AVUDAX,avudax_P1,monoclinic,-,33.681,-,-,-
AVUPIR,avupir_P1_H,rhombohedral,-,30.52,-,Yes,-
AWAGOV,awagov_P1_charged,tetragonal,-,15.773,Yes,-,-
AWAKEQ,awakeq_P1_H,monoclinic,-,18.221,-,Yes,-
AWASAU,awasau_P1_H,monoclinic,-,16.912,-,Yes,-
AWASEY,awasey_P1_H,monoclinic,-,62.633,-,Yes,Yes
AWATAV,awatav_P1,tetragonal,-,21.647,-,-,-
AWEDOW,awedow_P1_charged,orthorhombic,-,30.334,Yes,-,-
AWEGEP,awegep_P1_H,orthorhombic,-,31.944,-,Yes,Yes
AWEJIW,awejiw_P1,triclinic,-,38.198,-,-,-
AWEVIJ,awevij_P1_charged,monoclinic,-,46.619,Yes,-,-
AWEXOR,awexor_P1,monoclinic,-,30.95,-,-,-
AWEXUX,awexux_P1,monoclinic,-,31.788,-,-,-
AWIBAL,awibal_P1,triclinic,-,28.227,-,-,-
AXAQAT02,axaqat02_P1,monoclinic,-,16.576,-,-,-
AXICOB,axicob_P1,triclinic,-,42.034,-,-,-
AXINAX01,axinax01_P1,monoclinic,-,77.171,-,-,-
AXINIF,axinif_P1_H,orthorhombic,-,59.079,-,Yes,Yes
AXIPEE,axipee_P1,monoclinic,-,44.712,-,-,-
AXIPEE01,axipee01_P1,monoclinic,-,48.857,-,-,-
AXIPEE02,axipee02_P1,monoclinic,-,46.335,-,-,-
AXIPEE03,axipee03_P1,monoclinic,-,46.51,-,-,-
AXITOR,axitor_P1,monoclinic,-,11.657,-,-,-
AXOHIE,axohie_P1,monoclinic,-,19.237,-,-,-
AXUBOL,axubol_P1_H,cubic,-,51.831,-,Yes,Yes
AXUKUB,axukub_P1_charged,rhombohedral,-,63.863,Yes,-,-
AXULAI,axulai_P1_charged,monoclinic,-,66.141,Yes,-,-
AXULEM,axulem_P1_charged,monoclinic,-,64.594,Yes,-,-
AYEQEC,ayeqec_P1,monoclinic,-,56.195,-,-,-
AYONOT,ayonot_P1,orthorhombic,-,20.122,-,-,-
AYOQEM,ayoqem_P1,rhombohedral,-,52.343,-,-,-
AYOXUJ,ayoxuj_P1,monoclinic,-,18.368,-,-,-
AYOYEU,ayoyeu_P1,triclinic,-,18.647,-,-,-
AYOYIY,ayoyiy_P1,monoclinic,-,26.051,-,-,-
AYUDUV,ayuduv_P1,monoclinic,-,16.543,-,-,-
AYUWUM,ayuwum_P1_charged,triclinic,-,15.266,Yes,-,-
AZAFIS,azafis_P1,triclinic,-,28.462,-,-,-
AZILEC,azilec_P1,orthorhombic,-,27.121,-,-,-
AZIVAI,azivai_P1,tetragonal,Yes,62.164,-,-,-
AZIXUD,azixud_P1,orthorhombic,Yes,15.504,-,-,-
AZUFEG,azufeg_P1,monoclinic,-,17.036,-,-,-
AZUFIK,azufik_P1,triclinic,-,22.561,-,-,-
BACGAQ,bacgaq_P1,triclinic,-,27.125,-,-,-
BACMOH,bacmoh_P1_H,orthorhombic,Yes,22.716,-,Yes,-
BACMOH10,bacmoh10_P1,orthorhombic,Yes,20.421,-,-,-
BACSIL,bacsil_P1,triclinic,-,22.316,-,-,-
BADHIA,badhia_P1,orthorhombic,-,29.68,-,-,-
BADHOG,badhog_P1,orthorhombic,-,29.855,-,-,-
BADHUM,badhum_P1,orthorhombic,-,29.239,-,-,-
BADHUM01,badhum01_P1,monoclinic,-,21.229,-,-,-
BADJAU,badjau_P1,orthorhombic,-,28.062,-,-,-
BADXUC,badxuc_P1,monoclinic,-,58.759,-,-,-
BADYAJ,badyaj_P1,monoclinic,-,54.745,-,-,-
BADZAK,badzak_P1_charged,monoclinic,-,54.267,Yes,-,-
BAFBES,bafbes_P1_charged,triclinic,-,48.974,Yes,-,-
BAFKUR,bafkur_P1,triclinic,-,14.463,-,-,-
BAGRIN,bagrin_P1,monoclinic,-,12.907,-,-,-
BAHCIZ,bahciz_P1,monoclinic,Yes,31.093,-,-,-
BAHCOF,bahcof_P1_H,orthorhombic,Yes,23.934,-,Yes,-
BAHGUN,bahgun_P1,monoclinic,-,17.735,-,-,-
BAHGUN01,bahgun01_P1,monoclinic,-,19.192,-,-,-
BAHGUN02,bahgun02_P1,monoclinic,-,18.973,-,-,-
BAHGUN03,bahgun03_P1,monoclinic,-,18.982,-,-,-
BAHGUN04,bahgun04_P1,monoclinic,-,19.13,-,-,-
BAHMAZ,bahmaz_P1,monoclinic,-,11.748,-,-,-
BAKGAX,bakgax_P1,orthorhombic,-,10.304,-,-,-
BAKJEE,bakjee_P1,monoclinic,-,43.486,-,-,-
BAKJII,bakjii_P1,monoclinic,-,52.865,-,-,-
BAKSIS,baksis_P1,monoclinic,-,60.679,-,-,Yes
BALJOQ,baljoq_P1_charged,monoclinic,-,23.73,Yes,-,-
BAMKIM,bamkim_P1_charged,monoclinic,-,34.724,Yes,-,-
BAMKOS,bamkos_P1_charged_H,monoclinic,-,20.524,Yes,Yes,-
BAMMOU,bammou_P1_charged,hexagonal,Yes,48.28,Yes,-,-
BAMMUA,bammua_P1_charged,hexagonal,Yes,44.115,Yes,-,-
BAMNAH,bamnah_P1_charged,hexagonal,Yes,40.286,Yes,-,-
BAMNEL,bamnel_P1_charged,hexagonal,Yes,39.991,Yes,-,-
BANMAG,banmag_P1,hexagonal,-,34.505,-,-,-
BAQMOW,baqmow_P1,rhombohedral,-,16.15,-,-,-
BAQMUC,baqmuc_P1,cubic,-,14.341,-,-,-
BARKUD,barkud_P1_charged,trigonal,Yes,56.976,Yes,-,-
BARLEO,barleo_P1_charged,tetragonal,-,67.885,Yes,-,-
BARMEP,barmep_P1_charged_H,monoclinic,-,45.126,Yes,Yes,-
BARZIE,barzie_P1,rhombohedral,-,16.456,-,-,-
BASJUB,basjub_P1,tetragonal,-,39.596,-,-,-
BASMAM,basmam_P1_charged,rhombohedral,Yes,41.415,Yes,-,-
BASMUG,basmug_P1,monoclinic,-,40.054,-,-,-
BASSOF,bassof_P1,orthorhombic,-,10.442,-,-,-
BASTIA,bastia_P1,orthorhombic,-,10.3,-,-,-
BATXIG,batxig_P1,orthorhombic,Yes,60.344,-,-,-
BAXREY,baxrey_P1_H,orthorhombic,-,22.377,-,Yes,-
BAXSIE,baxsie_P1,tetragonal,Yes,16.844,-,-,-
BAXTUS,baxtus_P1,monoclinic,-,14.98,-,-,-
BAYQOK,bayqok_P1,triclinic,-,37.534,-,-,-
BAYQUQ,bayquq_P1,orthorhombic,-,60.897,-,-,-
BAYRAX,bayrax_P1,monoclinic,-,32.911,-,-,-
BAZBIO,bazbio_P1,monoclinic,Yes,10.068,-,-,-
BAZBIO01,bazbio01_P1,monoclinic,Yes,11.072,-,-,-
BAZBOU,bazbou_P1,monoclinic,Yes,11.27,-,-,-
BAZBOU01,bazbou01_P1,monoclinic,Yes,14.01,-,-,-
BAZBOU02,bazbou02_P1,monoclinic,Yes,10.953,-,-,-
BAZBOW,bazbow_P1_H,cubic,-,42.534,-,Yes,-
BAZDAJ,bazdaj_P1,orthorhombic,Yes,11.926,-,-,-
BAZFUF,bazfuf_P1,cubic,-,84.19,-,-,Yes
BAZFUF01,bazfuf01_P1,cubic,-,84.117,-,-,Yes
BAZGAM,bazgam_P1,cubic,-,93.505,-,-,Yes
BAZGEQ,bazgeq_P1,tetragonal,-,81.566,-,-,Yes
BAZJET,bazjet_P1,hexagonal,-,58.984,-,-,-
BAZTUU,baztuu_P1,orthorhombic,Yes,37.058,-,-,-
BEBWOX,bebwox_P1,monoclinic,-,16.683,-,-,-
BECJUR,becjur_P1,monoclinic,-,27.198,-,-,-
BECKAY,beckay_P1,monoclinic,-,24.262,-,-,-
BECKEC,beckec_P1_H,triclinic,-,20.8,-,Yes,-
BECSUA,becsua_P1,monoclinic,-,33.481,-,-,-
BEDHOJ,bedhoj_P1,tetragonal,Yes,33.562,-,-,-
BEDPAE,bedpae_P1,orthorhombic,-,32.818,-,-,-
BEDTAI,bedtai_P1,monoclinic,-,46.739,-,-,-
BEDTIQ,bedtiq_P1,monoclinic,-,45.785,-,-,-
BEDWIS,bedwis_P1_H,triclinic,-,42.795,-,Yes,-
BEDYEQ,bedyeq_P1,hexagonal,-,79.778,-,-,Yes
BEFJOO,befjoo_P1,monoclinic,-,21.498,-,-,-
BEGPUB,begpub_P1,hexagonal,Yes,58.057,-,-,-
